Nome;Partido;UF;Tipo_de_Despesa;Valor
MARRECA FILHO;PATRIOTA;MA;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  164100
MARRECA FILHO;PATRIOTA;MA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  100900
MARRECA FILHO;PATRIOTA;MA;EMISSÃO BILHETE AÉREO;R$  55197,82
MARRECA FILHO;PATRIOTA;MA;COMBUSTÍVEIS E LUBRIFICANTES.;R$  36313,33
MARRECA FILHO;PATRIOTA;MA;TELEFONIA;R$  2702,68
MARRECA FILHO;PATRIOTA;MA;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  2017,59
MARRECA FILHO;PATRIOTA;MA;SERVIÇOS POSTAIS;R$  1719,13
MARRECA FILHO;PATRIOTA;MA;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1588,08
MARRECA FILHO;PATRIOTA;MA;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  1115,64
MARRECA FILHO;PATRIOTA;MA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  464,9
MARRECA FILHO;PATRIOTA;MA;Total;R$  366119,17
PERPÉTUA ALMEIDA;PCdoB;AC;EMISSÃO BILHETE AÉREO;R$  125995,56
PERPÉTUA ALMEIDA;PCdoB;AC;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  60275,55
PERPÉTUA ALMEIDA;PCdoB;AC;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  47327
PERPÉTUA ALMEIDA;PCdoB;AC;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  30505,14
PERPÉTUA ALMEIDA;PCdoB;AC;LOCAÇÃO OU FRETAMENTO DE AERONAVES;R$  28400
PERPÉTUA ALMEIDA;PCdoB;AC;COMBUSTÍVEIS E LUBRIFICANTES.;R$  23024,56
PERPÉTUA ALMEIDA;PCdoB;AC;PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR;R$  20929
PERPÉTUA ALMEIDA;PCdoB;AC;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  12823,88
PERPÉTUA ALMEIDA;PCdoB;AC;TELEFONIA;R$  6026,31
PERPÉTUA ALMEIDA;PCdoB;AC;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  1502,55
PERPÉTUA ALMEIDA;PCdoB;AC;PASSAGENS AÉREAS;R$  1383,48
PERPÉTUA ALMEIDA;PCdoB;AC;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  1100
PERPÉTUA ALMEIDA;PCdoB;AC;ASSINATURA DE PUBLICAÇÕES;R$  1053
PERPÉTUA ALMEIDA;PCdoB;AC;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  781,99
PERPÉTUA ALMEIDA;PCdoB;AC;Total;R$  361128,02
JOÃO MAIA;PL;RN;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  142243,01
JOÃO MAIA;PL;RN;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  110950
JOÃO MAIA;PL;RN;EMISSÃO BILHETE AÉREO;R$  60701,51
JOÃO MAIA;PL;RN;COMBUSTÍVEIS E LUBRIFICANTES.;R$  21138,81
JOÃO MAIA;PL;RN;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  13800
JOÃO MAIA;PL;RN;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  5113,8
JOÃO MAIA;PL;RN;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  2843,98
JOÃO MAIA;PL;RN;TELEFONIA;R$  2404,92
JOÃO MAIA;PL;RN;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  900,31
JOÃO MAIA;PL;RN;PASSAGENS AÉREAS;R$  578,6
JOÃO MAIA;PL;RN;SERVIÇOS POSTAIS;R$  122,26
JOÃO MAIA;PL;RN;Total;R$  360797,2
FLAVIANO MELO;MDB;AC;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  115750
FLAVIANO MELO;MDB;AC;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  55000
FLAVIANO MELO;MDB;AC;COMBUSTÍVEIS E LUBRIFICANTES.;R$  41896,25
FLAVIANO MELO;MDB;AC;EMISSÃO BILHETE AÉREO;R$  41876,61
FLAVIANO MELO;MDB;AC;LOCAÇÃO OU FRETAMENTO DE AERONAVES;R$  28472
FLAVIANO MELO;MDB;AC;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  25178,4
FLAVIANO MELO;MDB;AC;TELEFONIA;R$  21561,3
FLAVIANO MELO;MDB;AC;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  13029,92
FLAVIANO MELO;MDB;AC;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  8483
FLAVIANO MELO;MDB;AC;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;R$  1862
FLAVIANO MELO;MDB;AC;SERVIÇOS POSTAIS;R$  1428,36
FLAVIANO MELO;MDB;AC;Total;R$  354537,84
FABIO REIS;MDB;SE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  96000
FABIO REIS;MDB;SE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  82129
FABIO REIS;MDB;SE;EMISSÃO BILHETE AÉREO;R$  57413,3
FABIO REIS;MDB;SE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  44597,27
FABIO REIS;MDB;SE;COMBUSTÍVEIS E LUBRIFICANTES.;R$  30084,42
FABIO REIS;MDB;SE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  25400
FABIO REIS;MDB;SE;TELEFONIA;R$  15318,78
FABIO REIS;MDB;SE;SERVIÇOS POSTAIS;R$  1462,02
FABIO REIS;MDB;SE;Total;R$  352404,79
RUY CARNEIRO;PSDB;PB;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  163903,39
RUY CARNEIRO;PSDB;PB;EMISSÃO BILHETE AÉREO;R$  60570,49
RUY CARNEIRO;PSDB;PB;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  49362,32
RUY CARNEIRO;PSDB;PB;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  39000
RUY CARNEIRO;PSDB;PB;COMBUSTÍVEIS E LUBRIFICANTES.;R$  22100,47
